Categoría,Marca / Línea,Tipo de Producto,Presentación,Variedad,Tamaño / Contenido,Precio Percha SMX,Escenario,Aumento de precio
Yogurt,Kiosko,Yogurt bebible,Funda,,900g,1.2,+ 2%,0.024
Yogurt,Kiosko,Yogurt bebible,Funda,,900g,1.2,+ 5%,0.06
Yogurt,Kiosko,Yogurt bebible,Funda,,900g,1.2,+ 10%,0.12
Yogurt,Kiosko,Yogurt bebible,Botella,,"3,500g",6.32,+ 2%,0.1264
Yogurt,Kiosko,Yogurt bebible,Botella,,"3,500g",6.32,+ 5%,0.316
Yogurt,Kiosko,Yogurt bebible,Botella,,"3,500g",6.32,+ 10%,0.632
Yogurt,Kiosko,Yogurt bebible,Sorpresa,,120g,0.68,+ 2%,0.0136
Yogurt,Kiosko,Yogurt bebible,Sorpresa,,120g,0.68,+ 5%,0.034
Yogurt,Kiosko,Yogurt bebible,Sorpresa,,120g,0.68,+ 10%,0.068
Yogurt,Kiosko,Yogurt bebible,Kids,,6-pack (120g),4.04,+ 2%,0.0808
Yogurt,Kiosko,Yogurt bebible,Kids,,6-pack (120g),4.04,+ 5%,0.202
Yogurt,Kiosko,Yogurt bebible,Kids,,6-pack (120g),4.04,+ 10%,0.404
Yogurt,Kiosko,Yogurt bebible,Kids,,180g,0.9,+ 2%,0.018
Yogurt,Kiosko,Yogurt bebible,Kids,,180g,0.9,+ 5%,0.045
Yogurt,Kiosko,Yogurt bebible,Kids,,180g,0.9,+ 10%,0.09
Yogurt,Kiosko,Yogurt bebible,Kids,,120g,0.68,+ 2%,0.0136
Yogurt,Kiosko,Yogurt bebible,Kids,,120g,0.68,+ 5%,0.034
Yogurt,Kiosko,Yogurt bebible,Kids,,120g,0.68,+ 10%,0.068
Yogurt,Kiosko,Yogurt bebible,Kids,,6-pack (180g),5.29,+ 2%,0.1058
Yogurt,Kiosko,Yogurt bebible,Kids,,6-pack (180g),5.29,+ 5%,0.2645
Yogurt,Kiosko,Yogurt bebible,Kids,,6-pack (180g),5.29,+ 10%,0.529
Yogurt,Kiosko,Yogurt griego,Tarina,,120g,1.38,+ 2%,0.0276
Yogurt,Kiosko,Yogurt griego,Tarina,,120g,1.38,+ 5%,0.069
Yogurt,Kiosko,Yogurt griego,Tarina,,120g,1.38,+ 10%,0.138
Yogurt,Kiosko,Yogurt griego,Tarina,,400g,3.44,+ 2%,0.0688
Yogurt,Kiosko,Yogurt griego,Tarina,,400g,3.44,+ 5%,0.172
Yogurt,Kiosko,Yogurt griego,Tarina,,400g,3.44,+ 10%,0.344
Yogurt,Kiosko,Yogurt griego,Tarina,,4-pack (120g),5.29,+ 2%,0.1058
Yogurt,Kiosko,Yogurt griego,Tarina,,4-pack (120g),5.29,+ 5%,0.2645
Yogurt,Kiosko,Yogurt griego,Tarina,,4-pack (120g),5.29,+ 10%,0.529
Yogurt,Regeneris,Yogurt bebible,Botella,,180g,0.89,+ 2%,0.0178
Yogurt,Regeneris,Yogurt bebible,Botella,,180g,0.89,+ 5%,0.0445
